"Inst Time","Flow (gpm)"
08/10/2017 08:15 AM,1002.85595703125
08/10/2017 08:30 AM,1002.85595703125
08/10/2017 08:45 AM,969.785339355469
08/10/2017 09:00 AM,965.865356445313
08/10/2017 09:15 AM,944.918579101563
08/10/2017 09:30 AM,944.918579101563
08/10/2017 09:45 AM,942.358032226563
08/10/2017 10:00 AM,943.759765625
08/10/2017 10:15 AM,943.759765625
08/10/2017 10:30 AM,941.189758300781
08/10/2017 10:45 AM,941.189758300781
08/10/2017 11:00 AM,937.33642578125
08/10/2017 11:15 AM,942.971862792969
08/10/2017 11:30 AM,913.894409179688
08/10/2017 11:45 AM,907.955627441406
08/10/2017 12:00 PM,907.955627441406
08/10/2017 12:15 PM,903.640991210938
08/10/2017 12:30 PM,903.640991210938
08/10/2017 12:45 PM,876.481872558594
08/10/2017 01:00 PM,887.357299804688
08/10/2017 01:15 PM,887.357299804688
08/10/2017 01:30 PM,887.357299804688
08/10/2017 01:45 PM,887.357299804688
08/10/2017 02:00 PM,886.111877441406
08/10/2017 02:15 PM,886.042541503906
08/10/2017 02:30 PM,877.055725097656
08/10/2017 02:45 PM,877.331176757813
08/10/2017 03:00 PM,873.32666015625
08/10/2017 03:15 PM,867.108703613281
08/10/2017 03:30 PM,846.049438476563
08/10/2017 03:45 PM,868.286499023438
08/10/2017 04:00 PM,868.286499023438
08/10/2017 04:15 PM,868.286499023438
08/10/2017 04:30 PM,869.517517089844
08/10/2017 04:45 PM,893.174987792969
08/10/2017 05:00 PM,893.174987792969
08/10/2017 05:15 PM,876.024658203125
08/10/2017 05:30 PM,890.690551757813
08/10/2017 05:45 PM,883.896423339844
08/10/2017 06:00 PM,876.758728027344
08/10/2017 06:15 PM,882.662048339844
08/10/2017 06:30 PM,887.810485839844
08/10/2017 06:45 PM,887.810485839844
08/10/2017 07:00 PM,911.658752441406
08/10/2017 07:15 PM,918.681274414063
08/10/2017 07:30 PM,923.440185546875
08/10/2017 07:45 PM,934.883666992188
08/10/2017 08:00 PM,934.883666992188
08/10/2017 08:15 PM,925.738220214844
08/10/2017 08:30 PM,934.607116699219
08/10/2017 08:45 PM,907.34814453125
08/10/2017 09:00 PM,896.7001953125
08/10/2017 09:15 PM,891.396057128906
08/10/2017 09:30 PM,877.766906738281
08/10/2017 09:45 PM,876.727355957031
08/10/2017 10:00 PM,876.727355957031
08/10/2017 10:15 PM,876.727355957031
08/10/2017 10:30 PM,876.727355957031
08/10/2017 10:45 PM,843.642211914063
08/10/2017 11:00 PM,825.7041015625
08/10/2017 11:15 PM,792.75048828125
08/10/2017 11:30 PM,765.475158691406
08/10/2017 11:45 PM,755.432556152344
08/11/2017 12:00 AM,736.353576660156
08/11/2017 12:15 AM,719.602355957031
08/11/2017 12:30 AM,713.489379882813
08/11/2017 12:45 AM,699.688781738281
08/11/2017 01:00 AM,699.688781738281
08/11/2017 01:15 AM,691.141784667969
08/11/2017 01:30 AM,686.287536621094
08/11/2017 01:45 AM,682.023193359375
08/11/2017 02:00 AM,681.61279296875
08/11/2017 02:15 AM,672.0380859375
08/11/2017 02:30 AM,668.85107421875
08/11/2017 02:45 AM,660.804443359375
08/11/2017 03:00 AM,668.062683105469
08/11/2017 03:15 AM,655.756286621094
08/11/2017 03:30 AM,646.946594238281
08/11/2017 03:45 AM,655.756286621094
08/11/2017 04:00 AM,668.90380859375
08/11/2017 04:15 AM,654.445068359375
08/11/2017 04:30 AM,675.696166992188
08/11/2017 04:45 AM,677.415222167969
08/11/2017 05:00 AM,678.480224609375
08/11/2017 05:15 AM,677.823852539063
08/11/2017 05:30 AM,688.074279785156
08/11/2017 05:45 AM,690.731872558594
08/11/2017 06:00 AM,713.509887695313
08/11/2017 06:15 AM,767.557006835938
08/11/2017 06:30 AM,786.425476074219
08/11/2017 06:45 AM,884.314086914063
